Día,Dispositivo,Grupo de anuncios,Campaña,Conversiones,Impr.,Coste,Interacciones,Clics
2025-02-15,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",1,"0,00",0,0
2025-02-15,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",3,"0,00",0,0
2025-02-15,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",7,"0,00",0,0
2025-02-15,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",4,"2,08",1,1
2025-02-15,Teléfonos móviles,Clases de Natación,Búsqueda | General,"0,00",107,"10,08",12,12
2025-02-15,Teléfonos móviles,Matronatación,Búsqueda | General,"3,00",141,"15,19",19,19
2025-02-15,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",50,"2,20",6,6
2025-02-15,Teléfonos móviles,Natación Adultos,Búsqueda | General,"0,00",138,"6,35",8,8
2025-02-15,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"0,00",66,"10,84",7,7
2025-02-15,Tablets,Clases de Natación,Búsqueda | General,"0,00",2,"0,00",0,0
2025-02-15,Tablets,Matronatación,Búsqueda | General,"0,00",2,"0,00",0,0
2025-02-15,Tablets,Natación Adultos,Búsqueda | General,"0,00",6,"0,00",0,0
2025-02-16,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",20,"0,00",0,0
2025-02-16,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",17,"0,00",0,0
2025-02-16,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",8,"0,00",0,0
2025-02-16,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",20,"0,00",0,0
2025-02-16,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",5,"0,00",0,0
2025-02-16,Teléfonos móviles,Clases de Natación,Búsqueda | General,"1,00",165,"10,04",13,13
2025-02-16,Teléfonos móviles,Matronatación,Búsqueda | General,"0,00",197,"19,34",28,28
2025-02-16,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",88,"4,33",8,8
2025-02-16,Teléfonos móviles,Natación Adultos,Búsqueda | General,"0,00",220,"2,63",17,17
2025-02-16,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"0,00",70,"5,17",6,6
2025-02-16,Tablets,Clases de Natación,Búsqueda | General,"0,00",2,"0,00",0,0
2025-02-16,Tablets,Natació- Infantil,Búsqueda | General,"0,00",3,"0,00",0,0
2025-02-16,Tablets,Natación Adultos,Búsqueda | General,"0,00",3,"0,00",0,0
2025-02-17,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",25,"4,59",3,3
2025-02-17,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",11,"1,55",1,1
2025-02-17,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",7,"1,07",2,2
2025-02-17,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",5,"0,00",0,0
2025-02-17,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",9,"2,47",1,1
2025-02-17,Teléfonos móviles,Clases de Natación,Búsqueda | General,"0,00",140,"15,07",24,24
2025-02-17,Teléfonos móviles,Matronatación,Búsqueda | General,"2,00",137,"9,76",16,16
2025-02-17,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",42,"2,05",5,5
2025-02-17,Teléfonos móviles,Natación Adultos,Búsqueda | General,"0,00",51,"4,23",11,11
2025-02-17,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"0,00",69,"8,06",9,9
2025-02-17,Tablets,Natación Adultos,Búsqueda | General,"0,00",1,"0,00",0,0
2025-02-17,Tablets,Natación para Embarazadas,Búsqueda | General,"0,00",1,"0,00",0,0
2025-02-18,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",33,"1,99",1,1
2025-02-18,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",10,"0,00",0,0
2025-02-18,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",11,"1,02",1,1
2025-02-18,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",29,"1,06",2,2
2025-02-18,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",18,"2,16",2,2
2025-02-18,Teléfonos móviles,Clases de Natación,Búsqueda | General,"0,00",162,"12,43",20,20
2025-02-18,Teléfonos móviles,Matronatación,Búsqueda | General,"1,00",157,"11,59",16,16
2025-02-18,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",74,"4,29",10,10
2025-02-18,Teléfonos móviles,Natación Adultos,Búsqueda | General,"0,00",274,"7,22",17,17
2025-02-18,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"0,00",82,"5,11",6,6
2025-02-18,Tablets,Clases de Natación,Búsqueda | General,"0,00",3,"0,00",0,0
2025-02-18,Tablets,Matronatación,Búsqueda | General,"0,00",4,"0,00",0,0
2025-02-18,Tablets,Natació- Infantil,Búsqueda | General,"0,00",1,"0,00",0,0
2025-02-18,Tablets,Natación Adultos,Búsqueda | General,"0,00",31,"0,00",0,0
2025-02-19,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",58,"1,99",2,2
2025-02-19,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",40,"1,81",2,2
2025-02-19,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",16,"4,93",3,3
2025-02-19,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",27,"0,00",0,0
2025-02-19,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",8,"0,66",1,1
2025-02-19,Teléfonos móviles,Clases de Natación,Búsqueda | General,"0,00",177,"4,97",10,10
2025-02-19,Teléfonos móviles,Matronatación,Búsqueda | General,"2,00",260,"14,49",25,25
2025-02-19,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",72,"3,10",7,7
2025-02-19,Teléfonos móviles,Natación Adultos,Búsqueda | General,"1,00",114,"4,29",9,9
