Fecha,Dispositivo,Set anuncios,Conversiones,Impresiones,Coste,Interacciones,Clics,CTR
2025-02-13,móbil,Natación embarazadas,1e-10,44,4.01e-10,5,5,0.11
2025-02-13,tablet,Matronatación,0.0,1,0.0,0,0,0.0
2025-02-14,ordenador,Clases natación,0.0,16,7.3e-11,1,1,0.06
2025-02-14,ordenador,Matronatación,0.0,25,0.0,0,0,0.0
2025-02-14,ordenador,Natación infantil,0.0,12,0.0,0,0,0.0
2025-02-14,ordenador,Natación adultos,1e-10,4,1.1699999999990002e-10,1,1,0.25
2025-02-14,ordenador,Natación embarazadas,0.0,10,3.3799999999999997e-10,3,3,0.3
2025-02-14,móbil,Clases natación,0.0,122,1.399e-09,14,14,0.11
2025-02-14,móbil,Matronatación,0.0,180,1.36e-09,18,18,0.1
2025-02-14,móbil,Natación infantil,0.0,133,4.849999999999e-10,11,11,0.08
2025-02-14,móbil,Natación adultos,0.0,192,2.15e-10,13,13,0.07
2025-02-14,móbil,Natación embarazadas,0.0,69,1.38e-10,1,1,0.01
2025-02-14,tablet,Clases natación,0.0,4,0.0,0,0,0.0
2025-02-14,tablet,Matronatación,0.0,4,0.0,0,0,0.0
2025-02-14,tablet,Natación infantil,0.0,4,0.0,0,0,0.0
2025-02-15,ordenador,Clases natación,0.0,12,0.0,0,0,0.0
2025-02-15,ordenador,Matronatación,0.0,1,0.0,0,0,0.0
2025-02-15,ordenador,Natación infantil,0.0,3,0.0,0,0,0.0
2025-02-15,ordenador,Natación adultos,0.0,7,0.0,0,0,0.0
2025-02-15,ordenador,Natación embarazadas,0.0,4,2.08e-10,1,1,0.25
2025-02-15,móbil,Clases natación,0.0,107,1.008e-09,12,12,0.11
2025-02-15,móbil,Matronatación,3.0000000000000005e-10,141,1.519e-09,19,19,0.13
2025-02-15,móbil,Natación infantil,0.0,50,2.1999999999990003e-10,6,6,0.12
2025-02-15,móbil,Natación adultos,0.0,138,6.350000000000001e-10,8,8,0.06
2025-02-15,móbil,Natación embarazadas,0.0,66,1.084e-09,7,7,0.11
2025-02-15,tablet,Clases natación,0.0,2,0.0,0,0,0.0
2025-02-15,tablet,Matronatación,0.0,2,0.0,0,0,0.0
2025-02-15,tablet,Natación adultos,0.0,6,0.0,0,0,0.0
2025-02-16,ordenador,Clases natación,0.0,20,0.0,0,0,0.0
2025-02-16,ordenador,Matronatación,0.0,17,0.0,0,0,0.0
2025-02-16,ordenador,Natación infantil,0.0,8,0.0,0,0,0.0
2025-02-16,ordenador,Natación adultos,0.0,20,0.0,0,0,0.0
2025-02-16,ordenador,Natación embarazadas,0.0,5,0.0,0,0,0.0
2025-02-16,móbil,Clases natación,1e-10,165,1.0039999999999e-09,13,13,0.08
2025-02-16,móbil,Matronatación,0.0,197,1.934e-09,28,28,0.14
2025-02-16,móbil,Natación infantil,0.0,88,4.3299999999999995e-10,8,8,0.09
2025-02-16,móbil,Natación adultos,0.0,220,2.63e-10,17,17,0.08
2025-02-16,móbil,Natación embarazadas,0.0,70,5.169999999999e-10,6,6,0.09
2025-02-16,tablet,Clases natación,0.0,2,0.0,0,0,0.0
2025-02-16,tablet,Natación infantil,0.0,3,0.0,0,0,0.0
2025-02-16,tablet,Natación adultos,0.0,3,0.0,0,0,0.0
2025-02-17,ordenador,Clases natación,0.0,25,4.5899999999990014e-10,3,3,0.12
2025-02-17,ordenador,Matronatación,0.0,11,1.55e-10,1,1,0.09
2025-02-17,ordenador,Natación infantil,0.0,7,1.0699999999999999e-10,2,2,0.29
2025-02-17,ordenador,Natación adultos,0.0,5,0.0,0,0,0.0
2025-02-17,ordenador,Natación embarazadas,0.0,9,2.47e-10,1,1,0.11
2025-02-17,móbil,Clases natación,0.0,140,1.5069999999999999e-09,24,24,0.17
2025-02-17,móbil,Matronatación,2e-10,137,9.759999999999e-10,16,16,0.12
2025-02-17,móbil,Natación infantil,0.0,42,2.049999999999e-10,5,5,0.12
2025-02-17,móbil,Natación adultos,0.0,51,4.2300000000000004e-10,11,11,0.22
2025-02-17,móbil,Natación embarazadas,0.0,69,8.059999999999999e-10,9,9,0.13
2025-02-17,tablet,Natación adultos,0.0,1,0.0,0,0,0.0
2025-02-17,tablet,Natación embarazadas,0.0,1,0.0,0,0,0.0
2025-02-18,ordenador,Clases natación,0.0,33,1.9899999999999998e-10,1,1,0.03
2025-02-18,ordenador,Matronatación,0.0,10,0.0,0,0,0.0
2025-02-18,ordenador,Natación infantil,0.0,11,1.0200000000000001e-10,1,1,0.09
2025-02-18,ordenador,Natación adultos,0.0,29,1.0600000000000001e-10,2,2,0.07
2025-02-18,ordenador,Natación embarazadas,0.0,18,2.16e-10,2,2,0.11
2025-02-18,móbil,Clases natación,0.0,162,1.243e-09,20,20,0.12
2025-02-18,móbil,Matronatación,1e-10,157,1.159e-09,16,16,0.1
2025-02-18,móbil,Natación infantil,0.0,74,4.29e-10,10,10,0.14
2025-02-18,móbil,Natación adultos,0.0,274,7.219999999999999e-10,17,17,0.06
2025-02-18,móbil,Natación embarazadas,0.0,82,5.11e-10,6,6,0.07
2025-02-18,tablet,Clases natación,0.0,3,0.0,0,0,0.0
2025-02-18,tablet,Matronatación,0.0,4,0.0,0,0,0.0
2025-02-18,tablet,Natación infantil,0.0,1,0.0,0,0,0.0
2025-02-18,tablet,Natación adultos,0.0,31,0.0,0,0,0.0
2025-02-19,ordenador,Clases natación,0.0,58,1.9899999999999998e-10,2,2,0.03
2025-02-19,ordenador,Matronatación,0.0,40,1.81e-10,2,2,0.05
2025-02-19,ordenador,Natación infantil,0.0,16,4.93e-10,3,3,0.19
2025-02-19,ordenador,Natación adultos,0.0,27,0.0,0,0,0.0
2025-02-19,ordenador,Natación embarazadas,0.0,8,6.6e-11,1,1,0.12
2025-02-19,móbil,Clases natación,0.0,177,4.969999999999001e-10,10,10,0.06
2025-02-19,móbil,Matronatación,2e-10,260,1.449e-09,25,25,0.1
2025-02-19,móbil,Natación infantil,0.0,72,3.1e-10,7,7,0.1
2025-02-19,móbil,Natación adultos,1e-10,114,4.29e-10,9,9,0.08
2025-02-19,móbil,Natación embarazadas,0.0,66,5.369999999999e-10,4,4,0.06
2025-02-19,tablet,Matronatación,0.0,6,0.0,0,0,0.0
2025-02-19,tablet,Natación infantil,0.0,1,0.0,0,0,0.0
2025-02-19,tablet,Natación adultos,0.0,14,0.0,0,0,0.0
2025-02-20,ordenador,Clases natación,0.0,37,7.2e-11,2,2,0.05
2025-02-20,ordenador,Matronatación,1e-10,52,2.71e-10,2,2,0.04
2025-02-20,ordenador,Natación infantil,0.0,9,5.699999999999899e-11,1,1,0.11
2025-02-20,ordenador,Natación adultos,0.0,15,0.0,0,0,0.0
2025-02-20,ordenador,Natación embarazadas,0.0,9,0.0,0,0,0.0
2025-02-20,móbil,Clases natación,0.0,129,3.4400000000000005e-10,6,6,0.05
2025-02-20,móbil,Matronatación,2e-10,227,1.7e-09,30,30,0.13
2025-02-20,móbil,Natación infantil,0.0,69,5.08e-10,9,9,0.13
2025-02-20,móbil,Natación adultos,1e-10,73,5.84e-10,6,6,0.08
2025-02-20,móbil,Natación embarazadas,0.0,64,6.32e-10,7,7,0.11
2025-02-20,tablet,Clases natación,0.0,2,0.0,0,0,0.0
2025-02-20,tablet,Matronatación,0.0,5,0.0,0,0,0.0
2025-02-20,tablet,Natación adultos,0.0,5,0.0,0,0,0.0
2025-02-21,ordenador,Clases natación,0.0,30,1.8e-11,1,1,0.03
2025-02-21,ordenador,Matronatación,0.0,63,0.0,0,0,0.0
2025-02-21,ordenador,Natación infantil,0.0,22,7.5e-11,1,1,0.05
2025-02-21,ordenador,Natación adultos,0.0,8,1.1399999999990001e-10,2,2,0.25
2025-02-21,ordenador,Natación embarazadas,0.0,5,0.0,0,0,0.0
2025-02-21,móbil,Clases natación,0.0,121,3.75e-10,10,10,0.08
2025-02-21,móbil,Matronatación,0.0,295,8.33e-10,14,14,0.05
2025-02-21,móbil,Natación infantil,0.0,75,1.32e-10,4,4,0.05
2025-02-21,móbil,Natación adultos,1e-10,67,6.08e-10,11,11,0.16
2025-02-21,móbil,Natación embarazadas,0.0,70,3.599999999999e-10,4,4,0.06
2025-02-21,tablet,Matronatación,0.0,4,0.0,0,0,0.0
2025-02-21,tablet,Natación infantil,0.0,2,0.0,0,0,0.0
2025-02-22,ordenador,Clases natación,0.0,14,1.48e-10,1,1,0.07
2025-02-22,ordenador,Matronatación,0.0,26,6.6e-11,1,1,0.04
2025-02-22,ordenador,Natación infantil,0.0,15,0.0,0,0,0.0
2025-02-22,ordenador,Natación adultos,0.0,9,1.3e-11,1,1,0.11
2025-02-22,móbil,Clases natación,1e-10,121,9.310000000000001e-10,17,17,0.14
2025-02-22,móbil,Matronatación,2e-10,307,1.1949999999999e-09,19,19,0.06
2025-02-22,móbil,Natación infantil,0.0,85,4.570000000000001e-10,7,7,0.08
2025-02-22,móbil,Natación adultos,0.0,180,4.14e-10,12,12,0.07
2025-02-22,móbil,Natación embarazadas,0.0,33,1.01e-10,3,3,0.09
2025-02-22,tablet,Matronatación,0.0,3,0.0,0,0,0.0
2025-02-22,tablet,Natación infantil,0.0,2,0.0,0,0,0.0
2025-02-22,tablet,Natación adultos,0.0,1,0.0,0,0,0.0
2025-02-23,ordenador,Clases natación,0.0,15,0.0,0,0,0.0
2025-02-23,ordenador,Matronatación,0.0,34,3.1e-11,1,1,0.03
2025-02-23,ordenador,Natación infantil,0.0,12,0.0,0,0,0.0
2025-02-23,ordenador,Natación adultos,0.0,12,0.0,0,0,0.0
2025-02-23,ordenador,Natación embarazadas,0.0,2,0.0,0,0,0.0
2025-02-23,móbil,Clases natación,1e-10,157,7.009999999999002e-10,10,10,0.06
2025-02-23,móbil,Matronatación,0.0,243,6.680000000000001e-10,12,12,0.05
2025-02-23,móbil,Natación infantil,0.0,84,4.849999999999e-10,10,10,0.12
2025-02-23,móbil,Natación adultos,0.0,179,5.149999999999001e-10,13,13,0.07
2025-02-23,móbil,Natación embarazadas,0.0,60,1.28e-10,2,2,0.03
2025-02-23,tablet,Clases natación,0.0,2,0.0,0,0,0.0
2025-02-23,tablet,Matronatación,0.0,13,2.2999999999999998e-11,1,1,0.08
2025-02-23,tablet,Natación infantil,0.0,3,0.0,0,0,0.0
2025-02-23,tablet,Natación adultos,0.0,3,0.0,0,0,0.0
