Campaign name,Day,Platform,Objective,Result type,Results,Reach,Impressions,Amount spent (EUR),Views,Clicks (all),CPC (all),CTR (all),Page engagement,Facebook follows or likes,Link clicks,Instagram profile visits,Website leads,Objective,Website purchases conversion value,Estimated ad recall lift (people)
matronatacion conversion,2025-04-18,instagram,All,Website leads,7,7616,7995,21.12,16364,97,0.21773196,1.21325829,1634,,67,28,7,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-18,instagram,OUTCOME_LEADS,Website leads,7,7616,7995,21.12,16364,97,0.21773196,1.21325829,1634,,67,28,7,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-18,facebook,All,Website leads,3,1276,1387,3.33,2793,11,0.30272727,0.79307859,416,,6,0,3,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-18,facebook,OUTCOME_LEADS,Website leads,3,1276,1387,3.33,2793,11,0.30272727,0.79307859,416,,6,0,3,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,All,All,All,,,18001,30644,166.54,49804,369,0.45132791,1.20415089,4526,,191,229,6,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-23,All,All,,,1450,1540,10.12,2645,21,0.48190476,1.36363636,314,,12,14,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-23,instagram,All,,,1464,1540,10.12,2645,21,0.48190476,1.36363636,314,,12,14,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-23,instagram,OUTCOME_LEADS,,,1464,1540,10.12,2645,21,0.48190476,1.36363636,314,,12,14,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-22,All,All,,,1623,1944,10.47,3188,35,0.29914286,1.80041152,395,,17,21,3,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-22,instagram,All,,,1635,1944,10.47,3188,35,0.29914286,1.80041152,395,,17,21,3,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-22,instagram,OUTCOME_LEADS,,,1635,1944,10.47,3188,35,0.29914286,1.80041152,395,,17,21,3,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-21,All,All,,,2681,3003,14.98,5397,35,0.428,1.16550117,531,,22,16,3,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-21,instagram,All,,,2704,3003,14.98,5397,35,0.428,1.16550117,531,,22,16,3,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-21,instagram,OUTCOME_LEADS,,,2704,3003,14.98,5397,35,0.428,1.16550117,531,,22,16,3,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-24,All,All,,,1655,1833,11.83,3057,25,0.4732,1.36388434,358,,12,19,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-24,instagram,All,,,1682,1833,11.83,3057,25,0.4732,1.36388434,358,,12,19,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-24,instagram,OUTCOME_LEADS,,,1682,1833,11.83,3057,25,0.4732,1.36388434,358,,12,19,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-27,All,All,,,1811,1912,11.68,3110,27,0.43259259,1.41213389,391,,11,21,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-27,instagram,All,,,1783,1912,11.68,3110,27,0.43259259,1.41213389,391,,11,21,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-27,instagram,OUTCOME_LEADS,,,1783,1912,11.68,3110,27,0.43259259,1.41213389,391,,11,21,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-26,All,All,,,1837,2008,12.69,3387,27,0.47,1.34462151,368,,11,19,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-26,instagram,All,,,1844,2008,12.69,3387,27,0.47,1.34462151,368,,11,19,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-26,instagram,OUTCOME_LEADS,,,1844,2008,12.69,3387,27,0.47,1.34462151,368,,11,19,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-25,All,All,,,1552,1653,10.55,2987,27,0.39074074,1.63339383,286,,11,16,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-25,instagram,All,,,1549,1653,10.55,2987,27,0.39074074,1.63339383,286,,11,16,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-25,instagram,OUTCOME_LEADS,,,1549,1653,10.55,2987,27,0.39074074,1.63339383,286,,11,16,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-16,All,All,,,1606,1870,11.17,3279,18,0.62055556,0.96256684,395,,9,16,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-16,instagram,All,,,1649,1870,11.17,3279,18,0.62055556,0.96256684,395,,9,16,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-16,instagram,OUTCOME_LEADS,,,1649,1870,11.17,3279,18,0.62055556,0.96256684,395,,9,16,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-15,All,All,,,1938,2717,12.09,2760,24,0.50375,0.8833272,36,,15,12,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-15,instagram,All,,,1921,2717,12.09,2760,24,0.50375,0.8833272,36,,15,12,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-15,instagram,OUTCOME_LEADS,,,1921,2717,12.09,2760,24,0.50375,0.8833272,36,,15,12,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-14,All,All,,,1833,2819,12.57,2821,16,0.785625,0.56757716,10,,8,10,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-14,instagram,All,,,1845,2819,12.57,2821,16,0.785625,0.56757716,10,,8,10,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-14,instagram,OUTCOME_LEADS,,,1845,2819,12.57,2821,16,0.785625,0.56757716,10,,8,10,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-20,All,All,,,2301,2631,13.11,4780,25,0.5244,0.95020905,386,,12,18,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-20,instagram,All,,,2257,2631,13.11,4780,25,0.5244,0.95020905,386,,12,18,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-20,instagram,OUTCOME_LEADS,,,2257,2631,13.11,4780,25,0.5244,0.95020905,386,,12,18,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-19,All,All,,,2276,2660,13.17,4903,34,0.38735294,1.27819549,420,,21,21,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-19,instagram,All,,,2312,2660,13.17,4903,34,0.38735294,1.27819549,420,,21,21,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-19,instagram,OUTCOME_LEADS,,,2312,2660,13.17,4903,34,0.38735294,1.27819549,420,,21,21,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-17,All,All,,,1632,1866,10.98,3461,30,0.366,1.60771704,307,,13,17,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-17,instagram,All,,,1679,1866,10.98,3461,30,0.366,1.60771704,307,,13,17,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-17,instagram,OUTCOME_LEADS,,,1679,1866,10.98,3461,30,0.366,1.60771704,307,,13,17,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-18,All,All,,,1951,2188,11.13,4029,25,0.4452,1.14259598,329,,17,9,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-18,instagram,All,,,1896,2188,11.13,4029,25,0.4452,1.14259598,329,,17,9,,OUTCOME_LEADS,,0
Nueva campaña de Clientes potenciales instagram..,2025-04-18,instagram,OUTCOME_LEADS,,,1896,2188,11.13,4029,25,0.4452,1.14259598,329,,17,9,,OUTCOME_LEADS,,0
Nueva campaña de Ventas,All,All,All,Website purchases,1,24102,49006,209.44,48915,933,0.22448017,1.90384851,336,1,314,66,22,OUTCOME_SALES,30,0
Nueva campaña de Ventas,2025-04-23,All,All,,,2234,3003,13.10,2984,67,0.19552239,2.23110223,23,,23,4,2,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-23,unknown,All,,,0,0,0.00,0,0,,,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-23,unknown,OUTCOME_SALES,,,0,0,0.00,0,0,,,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-23,instagram,All,,,780,1050,6.75,1051,5,1.35,0.47619048,1,,1,4,2,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-23,instagram,OUTCOME_SALES,,,780,1050,6.75,1051,5,1.35,0.47619048,1,,1,4,2,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-23,facebook,All,,,1614,1922,6.34,1927,62,0.10225806,3.22580645,22,,22,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-23,facebook,OUTCOME_SALES,,,1614,1922,6.34,1927,62,0.10225806,3.22580645,22,,22,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-23,audience_network,All,,,13,25,0.01,0,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-23,audience_network,OUTCOME_SALES,,,13,25,0.01,0,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-23,messenger,All,,,6,6,0.00,6,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-23,messenger,OUTCOME_SALES,,,6,6,0.00,6,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-22,All,All,Website purchases,1,2395,2797,13.35,2785,36,0.37083333,1.28709331,9,,9,11,,OUTCOME_SALES,30,0
Nueva campaña de Ventas,2025-04-22,facebook,All,,,1231,1441,5.37,1444,26,0.20653846,1.80430257,8,,8,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-22,facebook,OUTCOME_SALES,,,1231,1441,5.37,1444,26,0.20653846,1.80430257,8,,8,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-22,audience_network,All,,,8,16,0.08,0,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-22,audience_network,OUTCOME_SALES,,,8,16,0.08,0,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-22,instagram,All,Website purchases,1,1194,1336,7.90,1337,10,0.79,0.74850299,1,,1,11,,OUTCOME_SALES,30,0
